"subject","condition","target","rating"
"5323","equal","pity.target",6
"5323","equal","envy.target",7
"16133","competence-bias","envy.target",5
"16133","competence-bias","pity.target",3
"18715","equal","envy.target",6
"18715","equal","pity.target",7
"26992","competence-bias","envy.target",4
"26992","competence-bias","pity.target",3
"33485","warmth-bias","envy.target",7
"33485","warmth-bias","pity.target",7
"61746","equal","envy.target",6
"61746","equal","pity.target",3
"66018","competence-bias","envy.target",6
"66018","competence-bias","pity.target",5
"83085","warmth-bias","envy.target",5
"83085","warmth-bias","pity.target",3
"84403","competence-bias","envy.target",6
"84403","competence-bias","pity.target",4
"88666","competence-bias","pity.target",7
"88666","competence-bias","envy.target",7
"91842","competence-bias","pity.target",3
"91842","competence-bias","envy.target",5
"94407","warmth-bias","envy.target",4
"94407","warmth-bias","pity.target",5
"96678","competence-bias","envy.target",6
"96678","competence-bias","pity.target",2
"112304","equal","envy.target",5
"112304","equal","pity.target",3
"119607","warmth-bias","envy.target",6
"119607","warmth-bias","pity.target",5
"136674","competence-bias","pity.target",5
"136674","competence-bias","envy.target",6
"140761","equal","pity.target",6
"140761","equal","envy.target",6
"149377","warmth-bias","envy.target",6
"149377","warmth-bias","pity.target",6
"170886","equal","envy.target",6
"170886","equal","pity.target",3
"193152","warmth-bias","envy.target",7
"193152","warmth-bias","pity.target",7
"193481","equal","envy.target",5
"193481","equal","pity.target",6
"197423","competence-bias","envy.target",5
"197423","competence-bias","pity.target",5
"217034","competence-bias","pity.target",6
"217034","competence-bias","envy.target",4
"233341","equal","envy.target",7
"233341","equal","pity.target",5
"248165","warmth-bias","envy.target",4
"248165","warmth-bias","pity.target",4
"263054","warmth-bias","envy.target",6
"263054","warmth-bias","pity.target",5
"267986","equal","pity.target",5
"267986","equal","envy.target",5
"270773","warmth-bias","pity.target",5
"270773","warmth-bias","envy.target",6
"270880","warmth-bias","pity.target",5
"270880","warmth-bias","envy.target",6
"272741","warmth-bias","envy.target",6
"272741","warmth-bias","pity.target",5
"287267","equal","envy.target",6
"287267","equal","pity.target",7
"295098","equal","pity.target",7
"295098","equal","envy.target",1
"297054","competence-bias","pity.target",5
"297054","competence-bias","envy.target",6
"301961","competence-bias","envy.target",7
"301961","competence-bias","pity.target",7
"311392","equal","pity.target",7
"311392","equal","envy.target",6
"319890","warmth-bias","envy.target",5
"319890","warmth-bias","pity.target",3
"331794","equal","pity.target",5
"331794","equal","envy.target",3
"332593","warmth-bias","envy.target",6
"332593","warmth-bias","pity.target",5
"339223","equal","pity.target",5
"339223","equal","envy.target",4
"341712","equal","pity.target",6
"341712","equal","envy.target",3
"344746","warmth-bias","pity.target",4
"344746","warmth-bias","envy.target",5
"361811","competence-bias","pity.target",5
"361811","competence-bias","envy.target",6
"383297","competence-bias","pity.target",3
"383297","competence-bias","envy.target",5
"384081","competence-bias","pity.target",7
"384081","competence-bias","envy.target",6
"403596","warmth-bias","pity.target",5
"403596","warmth-bias","envy.target",6
"417236","competence-bias","envy.target",6
"417236","competence-bias","pity.target",5
"420720","warmth-bias","envy.target",5
"420720","warmth-bias","pity.target",6
"421729","competence-bias","envy.target",7
"421729","competence-bias","pity.target",7
"430683","warmth-bias","envy.target",4
"430683","warmth-bias","pity.target",7
"432512","equal","envy.target",5
"432512","equal","pity.target",5
"432622","competence-bias","envy.target",6
"432622","competence-bias","pity.target",3
"441828","warmth-bias","envy.target",7
"441828","warmth-bias","pity.target",7
"450784","equal","pity.target",6
"450784","equal","envy.target",3
"451934","warmth-bias","pity.target",5
"451934","warmth-bias","envy.target",3
"456349","equal","pity.target",4
"456349","equal","envy.target",6
"456865","competence-bias","pity.target",6
"456865","competence-bias","envy.target",5
"461138","competence-bias","envy.target",4
"461138","competence-bias","pity.target",7
"463121","warmth-bias","pity.target",4
"463121","warmth-bias","envy.target",4
"464624","equal","pity.target",7
"464624","equal","envy.target",6
"481025","competence-bias","pity.target",4
"481025","competence-bias","envy.target",4
"488120","competence-bias","envy.target",7
"488120","competence-bias","pity.target",7
"516232","warmth-bias","envy.target",5
"516232","warmth-bias","pity.target",4
"518364","equal","envy.target",6
"518364","equal","pity.target",5
"525589","competence-bias","pity.target",5
"525589","competence-bias","envy.target",6
"531125","warmth-bias","pity.target",7
"531125","warmth-bias","envy.target",6
"533878","competence-bias","pity.target",5
"533878","competence-bias","envy.target",7
"551142","warmth-bias","envy.target",7
"551142","warmth-bias","pity.target",5
"552179","competence-bias","pity.target",4
"552179","competence-bias","envy.target",6
"555894","warmth-bias","envy.target",5
"555894","warmth-bias","pity.target",4
"560992","equal","pity.target",5
"560992","equal","envy.target",4
"561909","equal","envy.target",6
"561909","equal","pity.target",4
"564655","equal","envy.target",6
"564655","equal","pity.target",4
